genotipo,planta,Clone,Ubicacion,Heading.date ,Lenght.day,Tmean,Tmin,Tmax,N.espigui.espi,N.gr20 ,N.gr.total,Fertility,Tallo.emer
T218T21AH1S,1,1,invernadero,15/02/13,10.48,23.90,9.3,38.5,20,0,0,0,1
T218T21AH1S,1,1,invernadero,18/02/13,10.55,20.40,11.7,29.1,20,0,0,0,2
T218T21AH1S,1,1,invernadero,01/03/13,11.21,22.35,9,35.7,20,0,0,0,3
T218T21AH1S,1,1,invernadero,04/03/13,11.28,17.40,10.4,24.4,20,0,0,0,4
T218T21AH1S,1,1,invernadero,15/03/13,11.55,23.30,7.2,39.4,12,2,2,10,5
T218T21AH1S,4,1,invernadero,18/02/13,10.55,20.40,11.7,29.1,20,0,0,0,1
T218T21AH1S,4,1,invernadero,21/02/13,11.02,14.60,11.2,18,20,0,0,0,2
T218T21AH1S,4,1,invernadero,04/03/13,11.28,17.40,10.4,24.4,20,0,0,0,3
T218T21AH1S,4,1,invernadero,04/03/13,11.28,17.40,10.4,24.4,20,0,0,0,4
T218T21AH1S,4,1,invernadero,04/03/13,11.28,17.40,10.4,24.4,20,0,0,0,5
T218T21AH1S,4,1,invernadero,06/03/13,11.33,22.30,12.8,31.8,20,0,0,0,6
T218T21AH1S,4,1,invernadero,06/03/13,11.33,22.30,12.8,31.8,20,0,0,0,7
T218T21AH1S,4,1,invernadero,08/03/13,11.38,24.40,14,34.8,20,0,0,0,8
T218T21AH1S,4,1,invernadero,08/03/13,11.38,24.40,14,34.8,20,0,0,0,9
T218T21AH1S,4,1,invernadero,08/03/13,11.38,24.40,14,34.8,20,0,0,0,10
T218T21AH1S,5,1,invernadero,21/02/13,11.02,14.60,11.2,18,20,0,0,0,1
T218T21AH1S,5,1,invernadero,08/03/13,11.38,24.40,14,34.8,20,0,0,0,2
T218T21AH1S,5,1,invernadero,11/03/13,11.45,24.35,11.7,37,20,0,0,0,3
T218T21AH1S,5,1,invernadero,15/03/13,11.55,23.30,7.2,39.4,20,0,0,0,4
T218T21AH1S,6,1,invernadero,15/02/13,10.48,23.90,9.3,38.5,20,0,0,0,1
T218T21AH1S,6,1,invernadero,18/02/13,10.55,20.40,11.7,29.1,20,0,0,0,2
T218T21AH1S,6,1,invernadero,20/02/13,11.00,23.00,11.2,34.8,20,0,0,0,3
T218T21AH1S,6,1,invernadero,25/02/13,11.11,20.80,6.4,35.2,20,0,0,0,4
T218T21AH1S,6,1,invernadero,25/02/13,11.11,20.80,6.4,35.2,20,0,0,0,5
T218T21AH1S,6,1,invernadero,26/02/13,11.13,22.60,10.4,34.8,20,0,0,0,6
T218T21AH1S,6,1,invernadero,26/02/13,11.13,22.60,10.4,34.8,20,0,0,0,7
T218T21AH1S,6,1,invernadero,26/02/13,11.13,22.60,10.4,34.8,20,0,0,0,8
T218T21AH1S,6,1,invernadero,01/03/13,11.21,22.35,9,35.7,20,1,1,5,9
T218T21AH1S,6,1,invernadero,04/03/13,11.28,17.40,10.4,24.4,20,0,0,0,10
T218T21AH1S,6,1,invernadero,04/03/13,11.28,17.40,10.4,24.4,20,0,0,0,11
T218T21AH1S,7,1,invernadero,13/02/13,10.43,18.70,8,29.4,20,0,0,0,1
T218T21AH1S,7,1,invernadero,16/02/13,10.51,22.70,9.3,36.10,20,0,0,0,2
T218T21AH1S,7,1,invernadero,18/02/13,10.55,20.40,11.7,29.1,20,0,0,0,3
T218T21AH1S,7,1,invernadero,20/02/13,11.00,23.00,11.2,34.8,20,0,0,0,4
T218T21AH1S,7,1,invernadero,20/02/13,11.00,23.00,11.2,34.8,20,0,0,0,5
T218T21AH1S,7,1,invernadero,25/02/13,11.11,20.80,6.4,35.2,20,0,0,0,6
T218T21AH1S,7,1,invernadero,25/02/13,11.11,20.80,6.4,35.2,20,0,0,0,7
T218T21AH1S,7,1,invernadero,26/02/13,11.13,22.60,10.4,34.8,20,0,0,0,8
T218T21AH1S,7,1,invernadero,07/03/13,11.35,21.95,14.5,29.4,20,0,0,0,9
T218T21AH1S,7,1,invernadero,08/03/13,11.38,24.40,14,34.8,20,0,0,0,10
T218T21AH1S,8,1,invernadero,13/02/13,10.43,18.70,8,29.4,22,4,4,20,1
T218T21AH1S,8,1,invernadero,15/02/13,10.48,23.90,9.3,38.5,20,0,0,0,2
T218T21AH1S,8,1,invernadero,19/02/13,10.57,16.10,12,20.2,18,1,1,5,3
T218T21AH1S,8,1,invernadero,20/02/13,11.00,23.00,11.2,34.8,20,0,0,0,4
T218T21AH1S,8,1,invernadero,27/02/13,11.16,22.80,6.2,39.4,20,0,0,0,5
T218T21AH1S,8,1,invernadero,27/02/13,11.16,22.80,6.2,39.4,20,0,0,0,6
T218T21AH1S,8,1,invernadero,27/02/13,11.16,22.80,6.2,39.4,20,0,0,0,7
T218T21AH1S,8,1,invernadero,01/03/13,11.21,22.35,9,35.7,20,0,0,0,8
T218T21AH1S,8,1,invernadero,01/03/13,11.21,22.35,9,35.7,20,0,0,0,9
T218T21AH1S,8,1,invernadero,01/03/13,11.21,22.35,9,35.7,20,0,0,0,10
T218T21AH1S,8,1,invernadero,01/03/13,11.21,22.35,9,35.7,20,0,0,0,11
T218T21AH1S,3,2,invernadero,14/02/13,10.46,23.15,9.3,37,20,0,0,0,1
T218T21AH1S,3,2,invernadero,18/02/13,10.55,20.40,11.7,29.1,20,0,0,0,2
T218T21AH1S,3,2,invernadero,24/02/13,11.09,21.20,7.2,35.2,20,0,0,0,3
T218T21AH1S,3,2,invernadero,26/02/13,11.13,22.60,10.4,34.8,20,0,0,0,4
T218T21AH1S,3,2,invernadero,13/03/13,11.50,22.65,10.1,35.2,20,0,0,0,5
T218T21AH1S,3,3,invernadero,06/03/13,11.33,22.30,12.8,31.8,20,0,0,0,1
T218T21AH1S,3,3,invernadero,08/03/13,11.38,24.40,14,34.8,20,2,6,10,2
T218T21AH1S,3,3,invernadero,10/03/13,11.42,24.15,11.7,36.6,18,2,2,10,3
T218T21AH1S,3,3,invernadero,15/03/13,11.55,23.30,7.2,39.4,18,1,1,5,4
T218T21AH1S,3,3,invernadero,16/03/13,11.57,23.80,11.5,36.1,16,14,20,70,5
T218T21AH1S,3,3,invernadero,17/03/13,12.00,21.90,11.2,32.6,16,1,1,5,6
T218T21AH1S,3,3,invernadero,18/03/13,12.03,23.35,10.1,36.6,16,9,10,45,7
T218T21AH1S,3,3,invernadero,18/03/13,12.03,23.35,10.1,36.6,16,1,1,5,8
T218T21AH1S,3,3,invernadero,18/03/13,12.03,23.35,10.1,36.6,16,7,7,35,9
T218T21AH1S,3,3,invernadero,18/03/13,12.03,23.35,10.1,36.6,20,0,0,0,10
T218T21AH1S,3,3,invernadero,18/03/13,12.03,23.35,10.1,36.6,20,0,0,0,11
T218T552,11,1,invernadero,13/02/13,10.43,18.70,8,29.4,20,0,0,0,1
T218T552,11,1,invernadero,15/02/13,10.48,23.90,9.3,38.5,20,0,0,0,2
T218T552,11,1,invernadero,25/02/13,11.11,20.80,6.4,35.2,20,0,0,0,3
T218T552,11,1,invernadero,25/02/13,11.11,20.80,6.4,35.2,20,0,0,0,4
T218T552,11,1,invernadero,26/02/13,11.13,22.60,10.4,34.8,20,0,0,0,5
T218T552,11,1,invernadero,27/02/13,11.16,22.80,6.2,39.4,20,0,0,0,6
T218T552,11,1,invernadero,01/03/13,11.21,22.35,9,35.7,20,0,0,0,7
T218T552,11,1,invernadero,01/03/13,11.21,22.35,9,35.7,20,0,0,0,8
T218T552,11,1,invernadero,06/03/13,11.33,22.30,12.8,31.8,20,0,0,0,9
T218T552,11,1,invernadero,06/03/13,11.33,22.30,12.8,31.8,20,0,0,0,10
T218T552,11,1,invernadero,08/03/13,11.38,24.40,14,34.8,20,0,0,0,11
T218T552,12,1,invernadero,16/02/13,10.51,22.70,9.3,36.10,20,0,0,0,1
T218T552,12,1,invernadero,18/02/13,10.55,20.40,11.7,29.1,20,0,0,0,2
T218T552,12,1,invernadero,21/02/13,11.02,14.60,11.2,18,20,0,0,0,3
T218T552,12,1,invernadero,01/03/13,11.21,22.35,9,35.7,20,0,0,0,4
T218T552,12,1,invernadero,01/03/13,11.21,22.35,9,35.7,20,0,0,0,5
T218T552,12,1,invernadero,14/03/13,11.52,23.40,6.4,40.4,20,0,1,0,6
